Filename,Doi,Abstract,Materials
The title is hidden due to some reasons,[https://doi.org/10.1016/j.joule.2024.04.014],"[This article presents a flexible ultrafast thermal camouflage device combining electrocaloric polymer and flexible heater for instantaneous temperature/color change, achieving a temperature change rate of 3.8×103 °C/s in air, enabling effective camouflage in both visible and infrared wavelengths.]","[P(VDF-TrFE-CFE),CNT,AgNW,TPX,PET,PDMS]"
The title is hidden due to some reasons,[https://doi.org/10.1002/lpor.202301378],"[This article presents a wafer-scale, lithography-free ultrathin aperiodic metacoating based on graded refractive index tungsten oxide (WOx) layers for broadband tunable light absorption, achieving ≈90% absorption from 190-1700 nm with thermal annealing enabling dynamic switching to ≈20% reflection, while also demonstrating wide-gamut structural color generation for display applications.]","[WOx,Al,Si]"
The title is hidden due to some reasons,[https://doi.org/10.1002/lpor.202400724],"[This article introduces a circuit-theory-informed neural network (CTINN) for intelligent metamaterial design, combining deep learning with equivalent RLC circuit principles to achieve high-precision spectral prediction and strong generalization beyond training data ranges, demonstrated through plasmonic stack metamaterials (PSMs) with single and double MDM stacks.]","[Au,Si]"
The title is hidden due to some reasons,[https://doi.org/10.1002/lpor.202301378],"[This article demonstrates a wafer-scale, lithography-free ultrathin aperiodic metacoating based on graded refractive index tungsten oxide (WOx) layers and aluminum (Al), achieving tunable broadband absorption (90% from 190-1700 nm) and high reflection (80%) after thermal annealing, with applications in thermophotovoltaics and structural color displays.]","[WOx,Al,Si]"
The title is hidden due to some reasons,[https://doi.org/10.1016/j.nanoen.2024.110381],"[This study combines photothermal and radiative cooling mechanisms in a wearable thermoelectric generator (wTEG) system, achieving uninterrupted power generation with a power density of 198 mW/m2 for human body and 52 mW/m2 for steel robots in outdoor applications.]","[Al2O3,Cr,Ag,SiO2,BaSO4,P(VdF-HFP)]"
The title is hidden due to some reasons,[https://doi.org/10.1515/nanoph-2023-0710],"[This article introduces a material-informatics-based framework for inverse design of multilayer metamaterials to achieve simultaneous thermal camouflage (low emittance in 3–5 μm) and radiative cooling (high emittance in 5–8 μm) for ultrahigh-temperature objects, demonstrating effective infrared signal reduction and temperature management up to 500°C.]","[SiO2,Ge,ZnO,MgO,Au]"
The title is hidden due to some reasons,[https://doi.org/10.1039/d3nr05606f],"[This article demonstrates a hydrogel-based optical information encryption system using grayscale electron-beam lithography to control the swellability of polyvinyl alcohol microstructures, enabling humidity-driven dynamic structural color changes for image concealment and encryption with high resolution and fast response.]","[PVA,Al,Pt]"
The title is hidden due to some reasons,[https://doi.org/10.1038/s41586-024-07492-z],"[This article presents a scalable silk sericin (SS)-bridged MXene (S-SBM) film with sequential hydrogen and ionic bonding, achieving high tensile strength (755 MPa), toughness (17.4 MJ m?3), and electrical conductivity (8,458 S cm?1), while demonstrating excellent oxidation stability, photothermal conversion, and osteogenesis efficiency for guided bone regeneration applications.]","[Ti3C2Tx,SS,Zn,PET]"
The title is hidden due to some reasons,[https://doi.org/10.1038/s41586-024-07398-w],"[This article demonstrates a high-dimensional photodetector using dispersive thin-film interfaces to simultaneously characterize intensity, full-Stokes polarization, and broadband spectrum (400-900 nm) of light in a single measurement, achieving performance comparable to state-of-the-art single-purpose polarimeters and spectrometers.]","[TiO2,SiO2,Au]"
The title is hidden due to some reasons,[https://doi.org/10.1038/s41467-024-48826-9],"[This article presents a pixelated directional micro-emitter (PDME) that achieves ultra-broadband, polarization-independent directional thermal radiation with high emissivity (>0.8) and narrow angular range (down to ±11°), enabling efficient thermal energy transfer and directional infrared information encoding.]","[Ag,SU-8]"
The title is hidden due to some reasons,[https://doi.org/10.1038/s41893-024-01350-6],"[This article proposes a photonic radiative cooling film (PRCF) with a sandwich structure for sustainable plant growth in drylands, demonstrating temperature reduction (1.9–4.6°C), water evaporation reduction (2.1–31.9%), and increased biomass yield (20–370%) compared to conventional materials, while modeling predicts a fourfold increase in carbon sequestration potential.]","[TiO2,SiO2,Al2O3,Ag,PET,PAM,PDMS]"
The title is hidden due to some reasons,[https://doi.org/10.1126/sciadv.adr2062],"[This article presents a temperature-adaptive smart fabric (SF) loaded with reduced graphene oxide–wrapped thermochromic microcapsules (G-TM) and barium sulfate (BaSO?) nanoparticles, achieving bidirectional thermal regulation with solar heating at low temperatures and radiative cooling at high temperatures, expanding the thermal comfort range by about 8.5°C.]","[GO,BaSO?,PU,CVL,BPA,TM]"
The title is hidden due to some reasons,[https://doi.org/10.1126/science.383.6690.1492],"[This article reports the discovery of a biodegradable ferroelectric molecular crystal, HFPD, with a high piezoelectric coefficient (d33 ~138 pC/N) and voltage constant (g33 ~2450 × 10?3 Vm/N), demonstrating excellent biocompatibility, flexibility, and biodegradability for transient implantable electromechanical devices.]","[HFPD,PVA,PLA]"
The title is hidden due to some reasons,[https://doi.org/10.1002/adfm.202407644],"[This article designs a spectral-selective and adjustable asymmetric metafabric (NMC/CMN) for dynamic infrared stealth, integrating shielded infrared stealth in low-temperature environments and compensatory thermal camouflage in high-temperature backgrounds. The metafabric achieves low infrared emissivity (28%), thermal insulation, and solar-thermal/electrothermal conversion, enabling adaptive camouflage in variable scenarios.]","[PDMS,NPTFE,MXENE,Ti3C2TX]"
The title is hidden due to some reasons,[https://doi.org/10.1016/j.cej.2023.148010],"[This article presents a flexible infrared electrochromic device using oxygen-deficient W18O49 nanowire cathodes and MXene-based IR transparent electrodes, achieving high IR emissivity modulation (Δε of 0.4 in 3–5 μm and 0.47 in 8–14 μm bands) and stability over 2000 cycles, enabling adaptive thermal management and IR camouflage.]","[W18O49,MXENE,PE,PVDF-HFP,PTFE,LiClO4,BaF2,Al,Ti3AlC2]"
The title is hidden due to some reasons,[https://doi.org/10.1038/s44286-024-00050-4],"[This article demonstrates a daytime radiative cooling dressing based on a polyamide 6/silk fibroin bilayer that reduces wound temperature by ~7°C under sunlight, accelerating wound healing in mice compared to commercial dressings by suppressing oxidative stress and inflammation.]","[PA6,SF]"
The title is hidden due to some reasons,[https://doi.org/10.1016/j.cej.2023.148010],"[This article presents a flexible infrared electrochromic device using oxygen-deficient W18O49 nanowire cathodes and MXene-based IR transparent electrodes, achieving high IR emissivity modulation (Δε of 0.4 in 3-5 μm and 0.47 in 8-14 μm bands) and stability over 2000 cycles, enabling adaptive thermal management and IR camouflage.]","[W18O49,MXENE,PE,PVDF-HFP,PTFE,LiClO4,BaF2,Al,Ti3AlC2]"
The title is hidden due to some reasons,[https://doi.org/10.1126/sciadv.adl4027],"[This article introduces a brochosome-inspired pixel twin (BLP) system for microscale thermal signature control, enabling visible camouflage and infrared display through distinct emissivity properties of open-pore (op-BLP) and closed-pore (cp-BLP) structures, achieving a 2.5:1 emissivity contrast without external light sources.]","[Ni,Si]"
The title is hidden due to some reasons,[https://doi.org/10.1038/s41467-024-50541-4],"[This article introduces a solvent-assisted dispersion method to create a MXene/liquid metal (MLM-S) composite with improved wettability, processability, and electromagnetic interference (EMI) shielding performance, achieving 105 dB shielding effectiveness at 20 μm thickness while enabling sensing and Joule heating applications.]","[Ti3C2Tx,Ga,In,Ag]"
The title is hidden due to some reasons,[https://doi.org/10.1016/j.scib.2023.10.039],"[This article presents an all-soft adaptive infrared (IR) composite inspired by cephalopod skin, utilizing liquid metal (LM) droplets and elastomer to achieve dynamic IR reflectance/emissivity modulation through mechanical stretching, enabling applications in flexible displays and adaptive camouflage.]","[EGaIn,Ecoflex,PDMS,PET,Ge]"
The title is hidden due to some reasons,[https://doi.org/10.1016/j.surfin.2023.103832],"[This article presents the design and preparation of hierarchical wrinkles (H-wrinkles) using POE-POE/Al, achieving a high infrared reflectance modulation range from 0.60 to 0.16 upon mechanical actuation, with applications in infrared camouflage and thermal management, demonstrating a temperature difference of ~5.3°C and dynamic modulation of ~1.4°C on artificial skin.]","[POE,Al,PMMA,PI]"
The title is hidden due to some reasons,[],"[This review explores advancements in MXene-based materials for thermal camouflage, focusing on their design, development, and applications. It highlights innovations like porous structures and phase-change material integration to address challenges such as oxidation sensitivity and mechanical durability, showcasing their potential in infrared stealth, aerospace, and communication systems.]","[MXENE,ANF,CNF,PET,ITO,PVA,PCC,PDMS,SWNT,BNNS,GO,hBN,BP,MoS2,WS2,MoSe2,WSe2,Ti3C2Tx,Fe3O4,Co,C,Ag,Al,Cu,Ni]"
A. Abrutis  - 2008 - Chemical vapor deposition of chalcogenide materials for phase-change memories.txt,[https://doi.org/10.1016/j.mee.2008.09.014],"[This article investigates the growth of chalcogenide Ge-Sb-Te films using pulsed liquid injection chemical vapor deposition (CVD) with and without hot-wire activation, demonstrating that hot-wire activated CVD produces higher quality, uniform, and smooth crystalline Ge2Sb2Te5 films suitable for phase-change memory applications.]","[Ge,Sb,Te,Si,SiO2,Si3N4,W]"
A. Abrutis  - 2008 - Hot-wire chemical vapor deposition of chalcogenide materials for phase change memory applications.txt,[https://doi.org/10.1021/cm8004584],"[This article demonstrates the successful growth of chalcogenide films for phase change memory applications using hot-wire metal organic chemical vapor deposition combined with pulsed liquid injection, achieving controlled composition, conformality, and functional properties comparable to sputter-deposited films.]","[Ge,Sb,Te,W,Si,SiO2]"
A. Beheshti Asl  - 2020 - Terahertz band pass filter design using multilayer metamaterials.txt,[https://doi.org/10.1007/s11082-021-02857-4],"[This article proposes a tunable bandpass terahertz filter using multilayer metamaterials with cylindrical particles, achieving a bandwidth of 1 THz and transmittance of 93%, while enabling frequency tuning through dimensional adjustments.]","[SiO2,Au]"
A. Benz  - 2013 - Tunable metamaterials based on voltage controlled strong coupling.txt,[http://dx.doi.org/10.1063/1.4859636],"[This article presents an electrically tunable mid-infrared metamaterial operating in the strong light-matter coupling regime, combining intersubband transitions in semiconductor quantum-wells with planar metamaterials to dynamically shift the upper-polariton branch frequency by 2.5 THz (8% of center frequency) with a 5 V bias.]","[Au,InGaAs,AlInAs,InP,Ti,Ge,Ni]"
A. Benz  - 2014 - Optical Strong Coupling between near-Infrared Metamaterials and Intersubband Transitions in III-Nitr.txt,[https://doi.org/10.1021/ph500192v],"[This article demonstrates strong light-matter coupling between intersubband transitions in III-nitride semiconductor heterostructures and planar ""dogbone"" metamaterials in the near-infrared range, achieving a 10.1 THz Rabi frequency, enabling potential applications in tunable optical filters and nonlinear optical materials.]","[AlGaN,AlN,Au,Ti]"
A. Bhardwaj  - 2017 - In situ click chemistry generation of cyclooxygenase-2 inhibitors.txt,[https://doi.org/10.1038/s41467-016-0009-6],"[This article demonstrates the use of in situ click chemistry to generate highly potent and selective cyclooxygenase-2 (COX-2) inhibitors within the enzyme's active site, achieving superior anti-inflammatory activity compared to conventional COX-2 inhibitors like celecoxib.]","[SO2CH3,SO2NH2]"
A. Cavalleri  - 2001 - Femtosecond Structural Dynamics in VO2 during an Ultrafast Solid-Solid Phase Transition..txt,[https://doi.org/10.1103/PhysRevLett.87.237401],"[This article investigates the femtosecond structural dynamics during an ultrafast solid-solid phase transition in VO2, observing a subpicosecond transformation into the rutile phase simultaneous with an insulator-to-metal transition, suggesting a nonequilibrium pathway for the transition.]","[VO2,Cu]"
A. Christ  - 2008 - Near‐field–induced tunability of surface plasmon polaritons in composite metallic nanostructures.txt,[https://doi.org/10.1111/j.1365-2818.2008.02020.x],"[This article investigates the tunability of surface plasmon polaritons in composite nanostructures consisting of gold nanowires and thin silver films, demonstrating how geometric modifications and coupling effects enable precise control over plasmonic resonances for applications in nanophotonics and metamaterials.]","[Au,Ag,SiO2]"
A. Christ  - 2008 - Symmetry Breaking in a Plasmonic Metamaterial at Optical Wavelength.txt,[https://doi.org/10.1021/nl0805559],"[This article numerically investigates the effect of structural asymmetry in a plasmonic metamaterial composed of gold nanowires, demonstrating that broken symmetry couples optically inactive (dark) plasmon modes to the radiation field, enabling spectrally narrow resonances with long lifetimes and distinct absorption losses.]","[Au,SiO2]"
A. Cusano  - 2015 - Lab-on-Fiber Technology.txt,[https://doi.org/10.1007/978-3-319-06998-2_1],"[This article reviews the emerging field of multimaterial fibers, which combine diverse materials to achieve complex photonic, optoelectronic, and acoustic functionalities through scalable thermal drawing processes, enabling applications in communications, sensing, and wearable devices.]","[SiO2,Si,Ge,Au,InSb,Sn,Se,ZnSe,Bi2O3,SiC,P(VDF-TrFE)]"
A. D. Boardman  - 2011 - Active and tunable metamaterials.txt,[https://doi.org/10.1002/lpor.201000012],"[This review discusses active and tunable metamaterials, focusing on solutions for managing loss and gain, nonlinear behavior, and stability, with applications in energy, medical sectors, and electromagnetic wave amplification.]","[Ag,GaN,VO2,InSb]"
A. D. Boardman and Allan D. Boardman - 2011 - Pioneers in metamaterials John Pendry and Victor Veselago.txt,[2040-8978/11/020401+06 $33.00],"[This article is a tribute to John Pendry and Victor Veselago, highlighting their pioneering contributions to metamaterials and negative refraction, which have ignited global scientific curiosity and application-driven research in the field.]",[]
A. F. Harvey and A.F. Harvey - 1960 - Periodic and Guiding Structures at Microwave Frequencies.txt,[https://doi.org/10.1109/TMTT.1960.1124669],"[This article reviews the properties of periodic and guiding structures used in microwave components, antennas, electron tubes, and low-noise amplifiers, covering dispersive propagation in periodic-loaded lines, surface-wave structures, and practical slow-wave systems like ladder lines and helices.]","[W,Si,Au,Cu,Al,Brass,Polystyrene,Perspex,Enamel]"
A. Fantini  - 2010 - N-doped GeTe as performance booster for embedded Phase-Change Memories.txt,[https://doi.org/10.1109/IEDM.2010.5703434],"[This article investigates nitrogen-doped GeTe as an alternative phase-change material for enhanced data retention in Phase-Change Memories (PCM), demonstrating a 10-year fail temperature of 154°C for GeTeN2% and improved thermal stability without compromising programming performance.]","[GeTe,W,SiO2]"
A. Femius Koenderink  - 2015 - Nanophotonics shrinking light-based technology..txt,[https://doi.org/10.1126/science.1261243],"[This review highlights advances in nanophotonics, focusing on controlling light at subwavelength scales using metallic and dielectric nanostructures, with applications in integrated circuitry, optical computing, solar technologies, and medical diagnostics.]","[Si,GaAs,Au,Ag,InP]"
A. Gilad Kusne  - 2020 - On-the-fly closed-loop materials discovery via Bayesian active learning..txt,[https://doi.org/10.1038/s41467-020-19597-w],"[This article presents CAMEO, a closed-loop autonomous system for materials exploration and optimization, which combines Bayesian active learning with real-time control of X-ray diffraction experiments to accelerate the discovery of advanced functional materials, demonstrated by identifying a novel phase-change memory material (Ge4Sb6Te7) with superior optical contrast.]","[Ge,Sb,Te,Si,SiO2,Al2O3]"
A. Hessel  - 1965 - A New Theory of Wood’s Anomalies on Optical Gratings.txt,[https://doi.org/10.1364/AO.4.001275],"[This article presents a new guided wave theory to explain Wood's anomalies in diffraction gratings, distinguishing between resonance-type anomalies and those at Rayleigh wavelengths, and validates the theory with rigorous solutions for sinusoidally modulated reactance surfaces.]","[Au,Si]"
A. L. Hodgkin  - 1939 - Action Potentials Recorded from Inside a Nerve Fibre.txt,[https://doi.org/10.1038/144710a0],"[This article investigates potassium interchange in muscle cells and its relation to carbohydrate metabolism, demonstrating that potassium entry into cells is linked to the formation of impermeable anions from permeable ones like phosphate, which are involved in the carbohydrate cycle.]","[Ag,AgCl,glass,silk]"
