,Count
MWCNTs,3
PAN,3
PEG,3
DMD,3
Polystyrene,3
Y2O3,3
CMOS,3
BTO,3
GST225,3
ZEP520A,3
5880,3
MEMS,3
Duroid,3
TiW,3
CuPc,3
Er2O3,3
Ge1Sb2Te4,3
EGAIN,3
ABS,3
MoSi,3
SnTe,3
S,3
PNIPAm,3
CuInSe2,3
MEH-PPV,3
NO3,3
MnO2,3
B4C,3
Ge3Sb2Te6,3
Ormocomp,3
Ge2Sb2Se4Te1,3
NiFe,3
InSe,3
NiTi,3
Ge23Sb7S70,3
PCL,3
ICBA,3
Sapphire,3
B,3
AuGe,3
BDS,3
SS304,3
MgH2,3
GeSbTe,3
PZT,3
TaN,3
SWCNT,3
Poly-Si,3
Polyimide,3
ZIF-67,3
Pb,3
MWCNT,3
graphite,3
Ir,3
RO4003C,3
B2O3,3
CNF,3
Ca,3
Pyrex,3
CIGS,3
on,3
SnO,3
BCP,3
TA,3
MAPbI3,3
CaO,3
PNIPAM,3
MXene,3
CPE,3
UHMWPE,3
wool,2
x,2
NiOx,2
PAni,2
PTh,2
Si3Nx,2
BiFeO3,2
TPU,2
PD,2
BiInSe3,2
MIL-101,2
NH4NO3,2
K2CO3,2
Rogers4003,2
PbI2,2
SrRuO3,2
AlNiY,2
AIST,2
GaInP,2
SnSx,2
PVdF-HFP,2
LiNbO,2
AgInSbTe,2
RNA,2
AgNWs,2
Cd,2
PDDA,2
Calcite,2
GRAPHITE,2
CeO,2
RESIN,2
PI-5878G,2
ReSe2,2
PPA,2
Ce,2
Be,2
GeO2,2
polyester,2
E7,2
CW,2
MoSe,2
Cl,2
FeOOH,2
polymer,2
Polymer,2
IP-Dip,2
AlGaInAs,2
YAG,2
SiCN,2
LAO,2
GeSb2Te4,2
HgTe,2
Bi2S3,2
LED,2
EG,2
DLC,2
InGaN,2
MWNT,2
TeO2,2
CCD,2
GaS,2
BLG,2
Sc,2
NIPAM,2
SOG,2
MgB2,2
SWNTs,2
TiS2,2
F4B-2,2
BaFe12O19,2
photoresist,2
NFC,2
Zeonex,2
CsPbBr3,2
CsBi1-xEuxNb2O7,2
TiB2,2
AlF3,2
RO4350B,2
MAPbBr3,2
SRRs,2
MoTe2,2
NbSe2,2
BIG,2
AlSb,2
InGaSb,2
KDP,2
O2,2
NiCrAlY,2
TDBC,2
Ti2O3,2
LT-GaAs,2
TCO,2
Shieldex,2
MgCl2,2
Paraffin,2
Li2CO3,2
Cu2O,2
a-Ge,2
AU,2
Rogers4350B,2
RT5880,2
RO3003,2
In2Se3,2
TaIrTe4,2
WS,2
ZrB,2
HfB,2
NaF,2
SmNiO3,2
Yb2O3,2
Yb,2
RogersRT5880,2
MACOM,2
SnS2,2
AgInTe2,2
polyurethane,2
CTAB,2
APTES,2
polystyrene,2
PDAC,2
MWNTs,2
W18O49,2
PVDF-HFP,2
SF,2
PAM,2
WOx,2
PC403,2
AR-N,2
ETFE,2
GeSe,2
Cu47Ti34Zr11Ni8,2
AlGaO,2
PMC,2
YBa2Cu3O7,2
DAST,2
La2O3,2
P2O5,2
Na2O,2
HPC,2
AlGaN,2
BSA,2
SnS,2
NaYF4,2
FLG,2
TaS2,2
steel,2
PtIr,2
Bi2O3,2
AlOx,2
GeSn,2
Ge2Sb1Te4,2
NaOH,2
Eu,2
Mo2Ga2C,2
L,2
MR,2
8YSZ,2
SiGe,2
InGaAsSb,2
FeCl,2
CVD,2
InGaP,2
CS,2
RO4350,2
P3OT,2
HOPG,2
ESRR,1
Nd2O3,1
Sm2O3,1
Eu2O3,1
K2O,1
SrO,1
BaO,1
Rogers5880LZ,1
GeSnTe2,1
SG-CNT,1
Ag2O,1
GALINSTAN,1
Metal,1
PEEK,1
BiFeO,1
AAM,1
wood,1
polydopamine,1
Nb2C,1
Ta4C3,1
LN,1
HNLF,1
EDFA,1
DFB,1
IL,1
Alg,1
GG,1
PBA,1
AA,1
MADA,1
F127-PEI,1
RR,1
LMA,1
NiCoCrAlTaY,1
SC,1
NH4HF2,1
V4AlC3,1
Nb4AlC3,1
CuFeSe2,1
BoPET,1
CELLULOSE,1
Topas,1
BDSs,1
PdAu,1
Sb7Te3,1
Ag-In-Sb-Te,1
CRR,1
SiH4,1
B2H6,1
GeH4,1
PVAL,1
C153,1
MOSFET,1
RO4450F,1
IST,1
TA33T,1
CP,1
PVDF-TrFe,1
Ag4In3Sb67Te26,1
Sc0.2Sb2Te3,1
TiTe2,1
Parylene-C,1
IP-L,1
GeSi,1
HfS2,1
NbS2,1
As40Se50Te10Sn5,1
Ge15As25Se15Te45,1
PSu,1
RT6006,1
RO5880,1
MAI,1
BA,1
GaInAs,1
ZnSnOx,1
ERR,1
ICP,1
CPC,1
HDPE,1
Chirosorb,1
Br2,1
FeCl3,1
Plexiglas,1
TaconicRF-60A,1
TaconicCER-10,1
Dielectric,1
LCM1107,1
AZ9620,1
SMV1231-079,1
Br,1
LiAlSi2O6,1
Li2O,1
Fe-Mn,1
K2Ti6O13,1
MoOx,1
Caprahircus,1
Ovisaries,1
AOM,1
MEMM,1
MMDM,1
GeAs,1
NbTiN,1
PolySi,1
YLiF4,1
ta-C,1
TMDC,1
SZ2080,1
VeroFM,1
MA104,1
RhiLu,1
Sigmodonhispidus,1
Re,1
P2VP,1
AlCu,1
TaB,1
Zeonor,1
ZrF4,1
LaF3,1
PbF2,1
Rogers4003C,1
CPT-1-Co,1
AgSbTe2,1
PTEBS,1
cPVP,1
pentacene,1
PTCDI-C8,1
Al-Si-Mg,1
dsRNA,1
Thermanox,1
CVDgraphene,1
NOA-63,1
Hf,1
MoN,1
Bi4Ge3O12,1
MO,1
IZO,1
Z7012C,1
BaM,1
CrB2,1
Be2C,1
Na2SiO2,1
SiO2x,1
cDNA,1
LiBH4,1
NaAlH4,1
LiMn2O4,1
LiCoO2,1
NiOOH,1
RuO2,1
Li4Ti5O12,1
MgCO3,1
Xe,1
Co2Si,1
ZrB2,1
MAPbBr1.5I1.5,1
ZrV2,1
Mg2Ni,1
FeTi,1
LaNi5,1
MCAo,1
Polyestermesh,1
TaO,1
RNALater,1
NOA13685,1
NOA71,1
PFPE,1
LC-SLM,1
AZPN114,1
KTO,1
CTO,1
LNTO,1
ECDEL,1
C57BL,1
6J,1
Rag2,1
Arlon,1
TMDs,1
PM,1
Ge25Sb10Se65,1
PN,1
PMmA,1
Bi12SiO20,1
PFS,1
SE,1
TE,1
AS,1
-Fe2O3,1
Plasmid,1
Agarose,1
Polyacrylamide,1
Filter,1
Glycinemax,1
Blumeriagraminis,1
CuS,1
L0,1
C0,1
PdMS,1
pNIPAM,1
Alq,1
ZEP,1
Ormostamp,1
AlF,1
A1203,1
SiO2Ag,1
Triticumaestivum,1
Pucciniagraminis,1
Zeamays,1
GeSb4Te7,1
In2S3,1
Cu2S,1
Ag2S,1
Sc2Te3,1
HAOL,1
He,1
Sa,1
Drosophilamelanogaster,1
HEK-293T,1
PAR,1
LCD,1
LCoS,1
AMOLED,1
OLED,1
HOE,1
GPU,1
Ti3O5,1
BOX,1
PGMEA,1
IPA,1
p,1
HEMA-co-MAA,1
AgNO3,1
Gypsum,1
Rocksalt,1
Ni-Zn,1
KTP,1
Co3O4,1
FeCo,1
RogersTMM4,1
NotexplicitlymenTiO2edintheprovidedtext,1
Pi,1
Ta2N3,1
HTAB,1
PFO,1
WOOD,1
WO,1
BNC,1
Vulcanizedrubber,1
TAD,1
ENG,1
MNG,1
PEVA,1
GST-326,1
Nylon-6,1
TiS3,1
Epoxy,1
Teijin,1
3C-SiC,1
Alumina,1
PPV,1
CN-PPV,1
VHB,1
Eu3+,1
GGG,1
C-L-Wood,1
CER-10,1
Graphite,1
Carbonnanotubes,1
-Fe,1
Na3AlF6,1
FeNiCo,1
ELC,1
SSPR,1
CH4N2S,1
0.5H2O,1
c-Si,1
SrFe12O19,1
SrCO3,1
DDQ,1
TBABF4,1
LiBr,1
AgBr,1
EDMA,1
MAA,1
RO3010,1
HSMS2862,1
PV,1
EVA,1
IBM,1
PC-73,1
SAS,1
DER,1
InSn,1
InAsSbP,1
epoxy,1
carbon,1
SF2,1
H2S,1
TiB,1
PermAl2O3,1
Mn2O3,1
LaFeO3,1
Bi1.5Sb0.5Te1.8Se1.2,1
Agema,1
GNPs,1
PTH,1
SnSe,1
ETPTA,1
acrylicresin,1
FPCB,1
AlAsSb,1
MYLAR,1
Sponge,1
Epoxyresin,1
SS316,1
SS316L,1
SS304L,1
SSSU303,1
Ti-6Al-4V,1
ISO,1
CSRR,1
DUROID,1
GLASS,1
QUARTZ,1
PFA,1
RogersTMM-10i,1
HSMS-2860,1
FePd,1
CoFeB,1
SMERm,1
SMERe,1
AIBN,1
WA,1
Viscose,1
Waterbornepolyurethane,1
WB,1
NiTiHf,1
NiTiZr,1
CuAlMnNi,1
CoNiGa,1
NiMnGa,1
STT-MRAM,1
MTJ,1
NbO2,1
PdCl2,1
C2H3O2,1
CuZnAl,1
CuAlNi,1
FeMnSi,1
AuCd,1
TiNiPd,1
TiNiPt,1
NaNO3,1
KNO3,1
Na2CO3,1
6H2O,1
RT25,1
GR40,1
RT27,1
RT21,1
SMV-2019,1
Phosphorene,1
Antimonene,1
MOFs,1
BiVO2,1
SMF,1
Duriod,1
5870,1
NiCo,1
Cu3-xP,1
LHM,1
epoxyPOSS,1
C8-BTBT,1
Cyt_c,1
Py,1
SMV2019-079LF,1
melanin,1
keratin,1
MICA,1
CLC,1
MEM,1
PrepermL900HF,1
MCT,1
HgSe,1
PC71BM,1
C70-bis,1
CoNiCrAlY,1
PQD,1
Neu5Ac,1
GalNAc,1
Gal,1
Glc,1
PCF,1
SSQ,1
CsxWO3,1
Cu2-xSe,1
PHT,1
PVSK,1
TeO,1
PIDT-PhanQ,1
AlScN,1
Felt,1
LSG,1
spiro-TTB,1
CoPc,1
InAlAs,1
LiNb3,1
MGO,1
TeflonAF,1
SRAM,1
DRAM,1
RRAM,1
SiO2Fe,1
Cd3As2,1
TaAs,1
WTe2,1
SpIRO-OMeTAD,1
PC60BM,1
MMA,1
PC61BM,1
MDMO-PPV,1
F8BT,1
PDI,1
PCPDTBT,1
polyaniline,1
polyacrylthiophenes,1
Ge2Sb2Te4,1
Ge3Sb4Te8,1
Ge15Sb85,1
Ag5In6Sb59Te30,1
CU,1
PTB7,1
TiO2Fe,1
ferrites,1
polyacrylonitrile,1
rubber,1
neoprene,1
urethane,1
fluoroelastomer,1
polypyrrole,1
GlcNAc,1
Ser,1
Thr,1
B270,1
BA585,1
PPKTP,1
Cs,1
SDS,1
DMRT-ML,1
DMRT-QMS,1
HUT-nlayers,1
MEMLS,1
mc-Si,1
stainless,1
MRI,1
TEFLON,1
HeNe,1
TiSbTe,1
VDF-TrFE,1
Perspex,1
Enamel,1
silk,1
AlInSb,1
SSA,1
PFH,1
NSN,1
6010.2LM,1
MgPz,1
FSS,1
HIS,1
WxV1-xO2,1
BaF,1
PC70BM,1
SubPc,1
PFB,1
F8T2,1
TPD,1
Alq3,1
NPB,1
PBD,1
Ecoflex,1
POE,1
PCC,1
BNNS,1
SO2CH3,1
SO2NH2,1
SLA,1
Inconel718,1
Electrifi,1
RfA1,1
polysilicon,1
BIS,1
KPS,1
TEMED,1
MPM,1
Tan,1
Ne,1
CeYIG,1
BiYIG,1
Zn0.2Fe2.8O4,1
FLPG,1
PTA,1
GaF2,1
PrepermDk4,1
PAAm,1
LiCl,1
FePt,1
Mn-Zn,1
MOF,1
KCl,1
NaHCO,1
MoO4,1
PVAC,1
BMIMBF4,1
Sb2Te,1
NiZn,1
Co2Z,1
RuCoM,1
RF,1
Eccostock,1
TSB_JS8910AS,1
PI2545,1
RogersTMM10i,1
RogersRT5880LZr,1
None,1
POLYIMIDE,1
ATLAS,1
PEGDMA,1
SF6,1
HIPS,1
CCB,1
TiCl4,1
Si-nc,1
CLRs,1
Styrofoam,1
CFRP,1
ZrO,1
La,1
Na2SO4,1
CaCl2,1
CaCI2,1
CdSeTe,1
CH4,1
NCD,1
CVL,1
BPA,1
TM,1
HFPD,1
NPTFE,1
Ti3C2TX,1
PA6,1
KAu,1
LaAlO3,1
LiPF6,1
Ti3CNTx,1
bentonite,1
VDF-TrFE-CFE,1
TPX,1
BaSO4,1
BaSO,1
GeI2,1
Na2Te,1
TOP,1
K2S,1
LiN,1
SiMe3,1
LiI,1
VC810,1
VACNT,1
VO2AlO,1
SI-GaAs,1
NbN,1
LSMO,1
CuSO4,1
Guanidine-HCl,1
Nylon,1
LTC5530,1
CuCl,1
7520,1
VS2,1
LCs,1
CN,1
NCS,1
C5H11,1
Collagen,1
Silica,1
GaTe,1
n1,1
n2,1
In0.8Al0.2Sb,1
PAHs,1
NGs,1
Al0.8Ga0.2As,1
RM,1
TEBN-1,1
mr-IT85,1
Guanine,1
Chitin,1
Cellulose,1
Keratin,1
Rb,1
SI,1
TI,1
AL,1
Ga2O3,1
Ga-doped,1
In0.1Ga0.9As,1
Al0.4Ga0.6As,1
QWP,1
PBS,1
Ku,1
Ka,1
PA,1
PT,1
ATO,1
Co1.29Ni1.71O4,1
PI7311,1
GHMM,1
G10,1
SiGeSn,1
InAlAsP,1
PTPA,1
THF,1
GRPHN,1
CoFe,1
BiTe,1
MSRR,1
CMT,1
ThF,1
InPAs,1
SiO2In,1
MBBA,1
C4H9O,1
C4H9S,1
C3H7,1
C2H5,1
CH3,1
CF3,1
OCF3,1
CF2O,1
CQD,1
CO,1
CO2,1
H2O,1
N2,1
NO,1
NO2,1
N2O,1
Cs0.33WO3,1
TiO2.67,1
IP-DIP,1
FPGA,1
GRS,1
GS,1
GAN,1
CNN,1
AlGaSb,1
SPI,1
LCN,1
DLW,1
TiC,1
TaC,1
WO3-x,1
MoO3-x,1
Nb2CTx,1
FCIPs,1
GaZnO,1
AlZnO,1
YH2,1
PdH2,1
PI-2611,1
CaCO3,1
DMF,1
YTaO,1
AlC,1
Mo2CTx,1
SuperP,1
Hg2Cl2,1
KOH,1
Li,1
HA,1
HSi,1
cotton,1
Mes-SiO2NPs,1
PTMEG,1
IPDI,1
DMPA,1
DBTDL,1
PFI-88,1
BARC,1
HMDS,1
cellulose,1
paper,1
polycarbonate,1
Nd,1
Mo2TiAlC2,1
SO2,1
varactor,1
dielectricsubstrate,1
metalground,1
Gra,1
CoFe2O4,1
FG,1
SiRN,1
foam,1
OCT,1
TiO2Al,1
HFBA,1
CHCl3,1
NaNO2,1
DMA,1
OV-1,1
UTe2,1
InSb-FeSb,1
paryleneC,1
TEM,1
GDY,1
NiCr60,1
15,1
plastic,1
SMF-28,1
PolyProDOT-Me2,1
GaInAsP,1
ARLONDiClad880,1
GST214,1
GST326,1
cPE,1
CuFeS2,1
GNR,1
latexrubber,1
siliconeelastomer,1
NAC,1
PAA,1
OA,1
Rogers3210,1
BBO,1
LAI,1
GIMMS,1
IPSLCM,1
ORCHIDEE,1
LMDZ,1
BC,1
h-BNNs,1
OSA,1
SRRS,1
TMICN,1
BADGE,1
TATATO,1
COC,1
dielectric,1
DBR,1
IL-Ni-Cl,1
6FDA-DBA-SP,1
DAE-M-Me,1
CuIn7Se11,1
ceramics,1
TT1-390,1
Na2MoO4,1
Lcys,1
NMP,1
Cu-CAT-1,1
CMP,1
C-dots,1
GFP,1
SiNC,1
LiFePO4,1
PI-2545,1
BPTT,1
SiPN,1
FeSe,1
La2CuO4,1
Suprasil,1
RM257,1
C12A,1
-MoO,1
BCSBP,1
PbTiO2,1
SubPc-Et,1
Sphagnum,1
Populustremula,1
Carexpaniculata,1
Scirpuscalifornicus,1
C-shapedwire,1
metal-backedDallenbachabsorbinglayer,1
p-Si,1
DyScO,1
CIP,1
N-GST,1
PR3170,1
SOA,1
MZ,1
EA,1
PB,1
AgNPs,1
La1-xSrxMnO3,1
Sm1-xCaxMnO3,1
PEO,1
PLGA,1
MAPbBr,1
PDLC,1
